Location,data_storage_needed,Time_Critical,Class
Near_to_Fog,17207,Yes,Fog
Near_to_Fog,60374,No,Cloud
Only_to_Cloud,25210,Yes,Cloud
Only_to_Cloud,69769,Yes,Cloud
Near_to_Fog,14183,No,Cloud
Near_to_Fog,70597,No,Cloud
Only_to_Cloud,60295,Yes,Cloud
Only_to_Cloud,68713,Yes,Cloud
Near_to_Fog,5176,No,Cloud
Only_to_Cloud,35561,No,Cloud
Near_to_Fog,65101,Yes,Fog
Near_to_Fog,90743,Yes,Fog
Only_to_Cloud,14936,Yes,Cloud
Only_to_Cloud,5673,Yes,Cloud
Near_to_Fog,57122,No,Cloud
Near_to_Fog,40281,No,Cloud
Near_to_Fog,82945,Yes,Fog
Near_to_Fog,91653,Yes,Fog
Near_to_Fog,56153,No,Cloud
Only_to_Cloud,26954,No,Cloud
Only_to_Cloud,54362,Yes,Cloud
Only_to_Cloud,50370,Yes,Cloud
Near_to_Fog,76790,Yes,Fog
Only_to_Cloud,3505,Yes,Cloud
Only_to_Cloud,35277,No,Cloud
Near_to_Fog,27309,No,Cloud
Only_to_Cloud,36121,No,Cloud
Near_to_Fog,60991,No,Cloud
Near_to_Fog,47459,Yes,Fog
Near_to_Fog,36556,Yes,Fog
Only_to_Cloud,78086,Yes,Cloud
Only_to_Cloud,27985,No,Cloud
Only_to_Cloud,70757,Yes,Cloud
Near_to_Fog,26758,No,Cloud
Only_to_Cloud,83479,Yes,Cloud
Near_to_Fog,47014,No,Cloud
Only_to_Cloud,32008,Yes,Cloud
Only_to_Cloud,37491,Yes,Cloud
Only_to_Cloud,47924,Yes,Cloud
Near_to_Fog,35929,Yes,Fog
Near_to_Fog,42397,No,Cloud
Near_to_Fog,3413,No,Cloud
Only_to_Cloud,61664,Yes,Cloud
Only_to_Cloud,75140,Yes,Cloud
Only_to_Cloud,28412,No,Cloud
Only_to_Cloud,99259,Yes,Cloud
Only_to_Cloud,89104,Yes,Cloud
Near_to_Fog,12591,Yes,Fog
Near_to_Fog,72211,No,Cloud
Only_to_Cloud,52455,No,Cloud
Only_to_Cloud,17346,No,Cloud
Near_to_Fog,46641,No,Cloud
Near_to_Fog,68377,No,Cloud
Near_to_Fog,86945,Yes,Fog
Near_to_Fog,60031,No,Cloud
Only_to_Cloud,40755,No,Cloud
Only_to_Cloud,78171,No,Cloud
Only_to_Cloud,17725,No,Cloud
Near_to_Fog,36246,No,Cloud
Only_to_Cloud,76604,Yes,Cloud
Near_to_Fog,74649,No,Cloud
Near_to_Fog,54060,Yes,Fog
Only_to_Cloud,6319,No,Cloud
Near_to_Fog,55523,Yes,Fog
Near_to_Fog,11106,Yes,Fog
Near_to_Fog,48285,No,Cloud
Only_to_Cloud,67877,Yes,Cloud
Near_to_Fog,23920,No,Cloud
Only_to_Cloud,13031,Yes,Cloud
Near_to_Fog,49082,No,Cloud
Near_to_Fog,15475,No,Cloud
Only_to_Cloud,33174,Yes,Cloud
Only_to_Cloud,50888,No,Cloud
Only_to_Cloud,65541,No,Cloud
Only_to_Cloud,32914,No,Cloud
Only_to_Cloud,88806,No,Cloud
Near_to_Fog,19404,Yes,Fog
Near_to_Fog,58081,No,Cloud
Only_to_Cloud,22186,Yes,Cloud
Near_to_Fog,48324,No,Cloud
Near_to_Fog,46980,Yes,Fog
Near_to_Fog,72548,Yes,Fog
Near_to_Fog,41554,No,Cloud
Only_to_Cloud,16191,No,Cloud
Near_to_Fog,78179,No,Cloud
Only_to_Cloud,85141,Yes,Cloud
Near_to_Fog,77258,No,Cloud
Only_to_Cloud,24720,Yes,Cloud
Near_to_Fog,31525,No,Cloud
Only_to_Cloud,43175,Yes,Cloud
Only_to_Cloud,66370,Yes,Cloud
Near_to_Fog,55038,Yes,Fog
Near_to_Fog,32444,No,Cloud
Only_to_Cloud,99874,No,Cloud
Only_to_Cloud,51067,Yes,Cloud
Only_to_Cloud,98010,No,Cloud
Only_to_Cloud,83984,Yes,Cloud
Near_to_Fog,13042,Yes,Fog
Only_to_Cloud,18177,Yes,Cloud
Only_to_Cloud,74363,Yes,Cloud
Only_to_Cloud,21969,No,Cloud
Only_to_Cloud,17694,Yes,Cloud
Near_to_Fog,71657,Yes,Fog
Near_to_Fog,77809,No,Cloud
Only_to_Cloud,54146,Yes,Cloud
Only_to_Cloud,84390,Yes,Cloud
Near_to_Fog,25764,Yes,Fog
Near_to_Fog,85077,No,Cloud
Near_to_Fog,73810,Yes,Fog
Only_to_Cloud,1979,Yes,Cloud
Near_to_Fog,68774,Yes,Fog
Near_to_Fog,84071,No,Cloud
Only_to_Cloud,16413,No,Cloud
Near_to_Fog,84129,No,Cloud
Near_to_Fog,89290,Yes,Fog
Near_to_Fog,57250,No,Cloud
Only_to_Cloud,57510,No,Cloud
Only_to_Cloud,31576,No,Cloud
Near_to_Fog,42058,Yes,Fog
Only_to_Cloud,48248,Yes,Cloud
Only_to_Cloud,89687,No,Cloud
Near_to_Fog,95503,No,Cloud
Near_to_Fog,1946,Yes,Fog
Near_to_Fog,59903,No,Cloud
Only_to_Cloud,63876,Yes,Cloud
Only_to_Cloud,98057,Yes,Cloud
Near_to_Fog,12928,Yes,Fog
Only_to_Cloud,20481,Yes,Cloud
Only_to_Cloud,20242,Yes,Cloud
Near_to_Fog,24138,Yes,Fog
Only_to_Cloud,55969,Yes,Cloud
Near_to_Fog,32511,No,Cloud
Only_to_Cloud,58930,No,Cloud
Only_to_Cloud,97774,Yes,Cloud
Near_to_Fog,31622,No,Cloud
Only_to_Cloud,28025,Yes,Cloud
Only_to_Cloud,33305,Yes,Cloud
Only_to_Cloud,96438,Yes,Cloud
Only_to_Cloud,98634,No,Cloud
Only_to_Cloud,99252,Yes,Cloud
Only_to_Cloud,80729,Yes,Cloud
Only_to_Cloud,36237,Yes,Cloud
Only_to_Cloud,70199,Yes,Cloud
Near_to_Fog,56605,No,Cloud
Near_to_Fog,39187,Yes,Fog
Only_to_Cloud,69469,No,Cloud
Only_to_Cloud,51310,No,Cloud
Near_to_Fog,47629,Yes,Fog
Only_to_Cloud,32671,No,Cloud
Near_to_Fog,27197,No,Cloud
Near_to_Fog,45877,No,Cloud
Near_to_Fog,90140,No,Cloud
Only_to_Cloud,41838,No,Cloud
Near_to_Fog,96318,Yes,Fog
Only_to_Cloud,41848,Yes,Cloud
Near_to_Fog,67261,No,Cloud
Near_to_Fog,6604,No,Cloud
Only_to_Cloud,81975,No,Cloud
Only_to_Cloud,59326,No,Cloud
Near_to_Fog,32150,No,Cloud
Near_to_Fog,49586,Yes,Fog
Only_to_Cloud,62934,Yes,Cloud
Near_to_Fog,82777,Yes,Fog
Only_to_Cloud,15766,Yes,Cloud
Only_to_Cloud,79865,Yes,Cloud
Only_to_Cloud,32978,Yes,Cloud
Near_to_Fog,52457,Yes,Fog
Only_to_Cloud,73714,No,Cloud
Near_to_Fog,10680,Yes,Fog
Near_to_Fog,90660,Yes,Fog
Near_to_Fog,11065,No,Cloud
Near_to_Fog,92670,No,Cloud
Only_to_Cloud,21068,Yes,Cloud
Near_to_Fog,64294,No,Cloud
Near_to_Fog,53535,Yes,Fog
Only_to_Cloud,97574,Yes,Cloud
Only_to_Cloud,10484,Yes,Cloud
Near_to_Fog,65381,No,Cloud
Near_to_Fog,19639,Yes,Fog
Only_to_Cloud,82529,Yes,Cloud
Near_to_Fog,90233,No,Cloud
Near_to_Fog,99864,Yes,Fog
Near_to_Fog,26832,Yes,Fog
Only_to_Cloud,97523,No,Cloud
Near_to_Fog,74137,No,Cloud
Only_to_Cloud,62457,No,Cloud
Near_to_Fog,79755,Yes,Fog
Only_to_Cloud,71819,Yes,Cloud
Near_to_Fog,53894,No,Cloud
Only_to_Cloud,19499,No,Cloud
Only_to_Cloud,18185,Yes,Cloud
Only_to_Cloud,63791,No,Cloud
Near_to_Fog,86822,Yes,Fog
Near_to_Fog,96328,No,Cloud
Only_to_Cloud,24493,No,Cloud
Only_to_Cloud,33768,Yes,Cloud
Near_to_Fog,43434,Yes,Fog
Near_to_Fog,13678,Yes,Fog
Only_to_Cloud,73435,No,Cloud
Near_to_Fog,30010,Yes,Fog
Near_to_Fog,56980,Yes,Fog
Only_to_Cloud,7504,Yes,Cloud
Near_to_Fog,58134,No,Cloud
Only_to_Cloud,59139,Yes,Cloud
Only_to_Cloud,12645,No,Cloud
Near_to_Fog,55,No,Cloud
Only_to_Cloud,87499,No,Cloud
Only_to_Cloud,83966,No,Cloud
Near_to_Fog,66027,No,Cloud
Near_to_Fog,20213,Yes,Fog
Near_to_Fog,52170,Yes,Fog
Near_to_Fog,78138,Yes,Fog
Only_to_Cloud,80295,No,Cloud
Near_to_Fog,29698,No,Cloud
Near_to_Fog,62008,No,Cloud
Near_to_Fog,1658,No,Cloud
Near_to_Fog,25248,No,Cloud
Near_to_Fog,39464,Yes,Fog
Near_to_Fog,98323,Yes,Fog
Only_to_Cloud,36920,No,Cloud
Only_to_Cloud,860,No,Cloud
Near_to_Fog,24536,Yes,Fog
Only_to_Cloud,16524,Yes,Cloud
Only_to_Cloud,40575,No,Cloud
Only_to_Cloud,57567,Yes,Cloud
Near_to_Fog,1571,Yes,Fog
Only_to_Cloud,37821,Yes,Cloud
Near_to_Fog,12272,No,Cloud
Near_to_Fog,84835,Yes,Fog
Near_to_Fog,22862,Yes,Fog
Only_to_Cloud,56545,No,Cloud
Only_to_Cloud,88684,Yes,Cloud
Only_to_Cloud,88890,No,Cloud
Near_to_Fog,57180,Yes,Fog
Near_to_Fog,6999,No,Cloud
Only_to_Cloud,13341,No,Cloud
Near_to_Fog,19532,Yes,Fog
Only_to_Cloud,71675,No,Cloud
Near_to_Fog,11079,Yes,Fog
Near_to_Fog,16157,Yes,Fog
Only_to_Cloud,12821,Yes,Cloud
Near_to_Fog,97281,Yes,Fog
Near_to_Fog,27827,No,Cloud
Only_to_Cloud,54946,Yes,Cloud
Near_to_Fog,84057,Yes,Fog
Near_to_Fog,93478,No,Cloud
Near_to_Fog,1011,Yes,Fog
Near_to_Fog,70129,Yes,Fog
Near_to_Fog,50426,No,Cloud
Near_to_Fog,77956,No,Cloud
Only_to_Cloud,96913,No,Cloud
Near_to_Fog,95210,No,Cloud
Near_to_Fog,64616,No,Cloud
Near_to_Fog,15420,No,Cloud
Only_to_Cloud,48154,Yes,Cloud
Near_to_Fog,78014,Yes,Fog
Near_to_Fog,64025,No,Cloud
Only_to_Cloud,16985,Yes,Cloud
Only_to_Cloud,1051,No,Cloud
Only_to_Cloud,24930,Yes,Cloud
Near_to_Fog,3614,Yes,Fog
Only_to_Cloud,82865,No,Cloud
Only_to_Cloud,55781,Yes,Cloud
Near_to_Fog,934,No,Cloud
Near_to_Fog,6357,No,Cloud
Only_to_Cloud,11773,Yes,Cloud
Only_to_Cloud,60438,No,Cloud
Only_to_Cloud,95553,No,Cloud
Near_to_Fog,16667,Yes,Fog
Near_to_Fog,69665,No,Cloud
Near_to_Fog,99863,No,Cloud
Only_to_Cloud,44963,No,Cloud
Only_to_Cloud,13380,Yes,Cloud
Near_to_Fog,79118,No,Cloud
Near_to_Fog,97296,No,Cloud
Near_to_Fog,29676,No,Cloud
Near_to_Fog,46868,Yes,Fog
Only_to_Cloud,69886,Yes,Cloud
Only_to_Cloud,35625,Yes,Cloud
Near_to_Fog,32942,No,Cloud
Only_to_Cloud,30093,Yes,Cloud
Near_to_Fog,87680,Yes,Fog
Near_to_Fog,68979,Yes,Fog
Near_to_Fog,62612,No,Cloud
Near_to_Fog,79130,Yes,Fog
Near_to_Fog,13571,No,Cloud
Only_to_Cloud,13060,Yes,Cloud
Only_to_Cloud,31155,No,Cloud
Near_to_Fog,90404,Yes,Fog
Only_to_Cloud,37779,Yes,Cloud
Only_to_Cloud,13590,No,Cloud
Only_to_Cloud,85280,Yes,Cloud
Only_to_Cloud,59626,No,Cloud
Near_to_Fog,1178,No,Cloud
Only_to_Cloud,155,No,Cloud
Near_to_Fog,34554,No,Cloud
Near_to_Fog,61598,Yes,Fog
Only_to_Cloud,17906,Yes,Cloud
Near_to_Fog,25882,Yes,Fog
Only_to_Cloud,15422,Yes,Cloud
Only_to_Cloud,14020,No,Cloud
Near_to_Fog,35339,Yes,Fog
Only_to_Cloud,53052,No,Cloud
Near_to_Fog,50194,Yes,Fog
Only_to_Cloud,50522,No,Cloud
Near_to_Fog,51639,No,Cloud
Near_to_Fog,50828,Yes,Fog
Only_to_Cloud,51172,Yes,Cloud
Near_to_Fog,81794,No,Cloud
Near_to_Fog,22607,No,Cloud
Near_to_Fog,30809,No,Cloud
Near_to_Fog,63543,Yes,Fog
Near_to_Fog,14212,Yes,Fog
Only_to_Cloud,15492,Yes,Cloud
Only_to_Cloud,70882,Yes,Cloud
Near_to_Fog,19645,No,Cloud
Near_to_Fog,95512,No,Cloud
Only_to_Cloud,9786,Yes,Cloud
Near_to_Fog,95832,Yes,Fog
Only_to_Cloud,76670,Yes,Cloud
Near_to_Fog,96585,No,Cloud
Only_to_Cloud,56383,Yes,Cloud
Near_to_Fog,32491,No,Cloud
Only_to_Cloud,92778,Yes,Cloud
Only_to_Cloud,17610,Yes,Cloud
Only_to_Cloud,74626,Yes,Cloud
Only_to_Cloud,63082,No,Cloud
Near_to_Fog,47478,Yes,Fog
Only_to_Cloud,19206,No,Cloud
Only_to_Cloud,58491,No,Cloud
Near_to_Fog,43591,No,Cloud
Only_to_Cloud,34183,No,Cloud
Only_to_Cloud,6023,No,Cloud
Only_to_Cloud,54832,No,Cloud
Near_to_Fog,24423,Yes,Fog
Only_to_Cloud,15055,Yes,Cloud
Near_to_Fog,88105,No,Cloud
Only_to_Cloud,96838,Yes,Cloud
Only_to_Cloud,93422,No,Cloud
Only_to_Cloud,24720,No,Cloud
Only_to_Cloud,66607,Yes,Cloud
Near_to_Fog,77468,No,Cloud
Only_to_Cloud,17422,Yes,Cloud
Only_to_Cloud,81044,Yes,Cloud
Only_to_Cloud,49625,No,Cloud
Only_to_Cloud,58770,Yes,Cloud
Only_to_Cloud,53237,No,Cloud
Near_to_Fog,4725,Yes,Fog
Near_to_Fog,69369,Yes,Fog
Only_to_Cloud,30919,No,Cloud
Only_to_Cloud,36726,No,Cloud
Only_to_Cloud,50271,No,Cloud
Near_to_Fog,7136,Yes,Fog
Near_to_Fog,64398,Yes,Fog
Near_to_Fog,52563,Yes,Fog
Near_to_Fog,78137,Yes,Fog
Only_to_Cloud,15178,Yes,Cloud
Only_to_Cloud,79877,Yes,Cloud
Only_to_Cloud,34013,Yes,Cloud
Near_to_Fog,97789,No,Cloud
Near_to_Fog,75611,Yes,Fog
Near_to_Fog,55337,No,Cloud
Near_to_Fog,13299,Yes,Fog
Only_to_Cloud,39870,No,Cloud
Only_to_Cloud,9050,No,Cloud
Only_to_Cloud,22647,Yes,Cloud
Only_to_Cloud,71358,No,Cloud
Near_to_Fog,91249,No,Cloud
Near_to_Fog,21333,Yes,Fog
Only_to_Cloud,73871,Yes,Cloud
Near_to_Fog,1173,Yes,Fog
Only_to_Cloud,64704,Yes,Cloud
Near_to_Fog,62828,No,Cloud
Only_to_Cloud,8488,Yes,Cloud
Near_to_Fog,99248,Yes,Fog
Only_to_Cloud,62716,No,Cloud
Only_to_Cloud,18688,No,Cloud
Near_to_Fog,3747,No,Cloud
Near_to_Fog,64659,Yes,Fog
Near_to_Fog,49239,No,Cloud
Near_to_Fog,45672,No,Cloud
Near_to_Fog,21663,Yes,Fog
Near_to_Fog,37844,No,Cloud
Near_to_Fog,38308,Yes,Fog
Only_to_Cloud,41138,Yes,Cloud
Only_to_Cloud,76131,Yes,Cloud
Only_to_Cloud,363,Yes,Cloud
Only_to_Cloud,57264,Yes,Cloud
Only_to_Cloud,97037,No,Cloud
Only_to_Cloud,71409,No,Cloud
Only_to_Cloud,44315,Yes,Cloud
Near_to_Fog,63046,No,Cloud
Near_to_Fog,63079,Yes,Fog
Only_to_Cloud,65247,No,Cloud
Only_to_Cloud,90388,Yes,Cloud
Only_to_Cloud,81557,Yes,Cloud
Near_to_Fog,79772,Yes,Fog
Near_to_Fog,59236,Yes,Fog
Near_to_Fog,21753,No,Cloud
Near_to_Fog,34069,No,Cloud
Only_to_Cloud,20455,Yes,Cloud
Only_to_Cloud,85698,No,Cloud
Near_to_Fog,46908,Yes,Fog
Only_to_Cloud,1423,No,Cloud
Only_to_Cloud,59099,No,Cloud
Only_to_Cloud,65862,No,Cloud
Near_to_Fog,68062,No,Cloud
Near_to_Fog,8811,No,Cloud
Only_to_Cloud,81248,No,Cloud
Near_to_Fog,50423,Yes,Fog
Only_to_Cloud,98203,Yes,Cloud
Near_to_Fog,75877,Yes,Fog
Near_to_Fog,67105,Yes,Fog
Only_to_Cloud,72093,Yes,Cloud
Near_to_Fog,21239,No,Cloud
Near_to_Fog,3130,No,Cloud
Near_to_Fog,15217,No,Cloud
Only_to_Cloud,26226,Yes,Cloud
Near_to_Fog,76386,Yes,Fog
Only_to_Cloud,11019,Yes,Cloud
Only_to_Cloud,31611,Yes,Cloud
Only_to_Cloud,99575,Yes,Cloud
Near_to_Fog,92404,Yes,Fog
Only_to_Cloud,18231,No,Cloud
Only_to_Cloud,52016,No,Cloud
Only_to_Cloud,97042,Yes,Cloud
Near_to_Fog,86785,No,Cloud
Near_to_Fog,3651,No,Cloud
Only_to_Cloud,47505,Yes,Cloud
Near_to_Fog,1346,No,Cloud
Only_to_Cloud,37356,Yes,Cloud
Near_to_Fog,18617,No,Cloud
Only_to_Cloud,53034,No,Cloud
Near_to_Fog,36863,Yes,Fog
Only_to_Cloud,22529,Yes,Cloud
Near_to_Fog,21174,No,Cloud
Near_to_Fog,61105,Yes,Fog
Near_to_Fog,39515,No,Cloud
Near_to_Fog,77784,Yes,Fog
Near_to_Fog,817,Yes,Fog
Near_to_Fog,27226,Yes,Fog
Only_to_Cloud,72390,Yes,Cloud
Near_to_Fog,22818,No,Cloud
Only_to_Cloud,38195,Yes,Cloud
Near_to_Fog,47907,Yes,Fog
Only_to_Cloud,11446,No,Cloud
Near_to_Fog,3178,No,Cloud
Only_to_Cloud,41209,Yes,Cloud
Only_to_Cloud,69254,No,Cloud
Only_to_Cloud,18992,No,Cloud
Only_to_Cloud,42163,No,Cloud
Near_to_Fog,95780,No,Cloud
Near_to_Fog,64458,Yes,Fog
Only_to_Cloud,84570,Yes,Cloud
Near_to_Fog,50421,No,Cloud
Only_to_Cloud,61474,No,Cloud
Near_to_Fog,26277,Yes,Fog
Only_to_Cloud,79504,Yes,Cloud
Only_to_Cloud,61308,No,Cloud
Only_to_Cloud,86369,No,Cloud
Only_to_Cloud,86762,Yes,Cloud
Near_to_Fog,70683,No,Cloud
Only_to_Cloud,49437,Yes,Cloud
Only_to_Cloud,77652,No,Cloud
Only_to_Cloud,62980,No,Cloud
Near_to_Fog,76919,No,Cloud
Only_to_Cloud,98594,Yes,Cloud
Near_to_Fog,80307,Yes,Fog
Near_to_Fog,63044,Yes,Fog
Only_to_Cloud,83219,No,Cloud
Only_to_Cloud,26634,No,Cloud
Only_to_Cloud,89084,No,Cloud
Near_to_Fog,84424,No,Cloud
Near_to_Fog,54322,No,Cloud
Near_to_Fog,555,No,Cloud
Only_to_Cloud,55470,Yes,Cloud
Near_to_Fog,73716,No,Cloud
Only_to_Cloud,9996,Yes,Cloud
Near_to_Fog,54952,Yes,Fog
Near_to_Fog,98695,No,Cloud
Near_to_Fog,51452,No,Cloud
Only_to_Cloud,60026,Yes,Cloud
Near_to_Fog,96110,No,Cloud
Near_to_Fog,5113,Yes,Fog
Near_to_Fog,44996,Yes,Fog
Only_to_Cloud,61625,Yes,Cloud
Near_to_Fog,72186,No,Cloud
Only_to_Cloud,74569,No,Cloud
Near_to_Fog,95997,No,Cloud
Near_to_Fog,36267,No,Cloud
Only_to_Cloud,13540,No,Cloud
Only_to_Cloud,65208,Yes,Cloud
Only_to_Cloud,2715,Yes,Cloud
Only_to_Cloud,10772,Yes,Cloud
Only_to_Cloud,46609,Yes,Cloud
Near_to_Fog,14883,No,Cloud
Only_to_Cloud,20933,Yes,Cloud
Only_to_Cloud,64139,No,Cloud
Near_to_Fog,11898,No,Cloud
Only_to_Cloud,16690,No,Cloud
Near_to_Fog,59751,Yes,Fog
Near_to_Fog,50365,No,Cloud
Near_to_Fog,40673,No,Cloud
Only_to_Cloud,38530,Yes,Cloud
Only_to_Cloud,69615,No,Cloud
Only_to_Cloud,5946,Yes,Cloud
Only_to_Cloud,36305,No,Cloud
Near_to_Fog,31709,No,Cloud
Only_to_Cloud,74199,No,Cloud
Only_to_Cloud,6800,Yes,Cloud
Only_to_Cloud,16787,Yes,Cloud
Only_to_Cloud,39783,Yes,Cloud
Only_to_Cloud,54106,No,Cloud
Near_to_Fog,27641,No,Cloud
Only_to_Cloud,62409,Yes,Cloud
Only_to_Cloud,18796,Yes,Cloud
Near_to_Fog,88894,Yes,Fog
Near_to_Fog,64738,No,Cloud
Only_to_Cloud,61437,No,Cloud
Near_to_Fog,9337,No,Cloud
Only_to_Cloud,27116,No,Cloud
Near_to_Fog,37056,No,Cloud
Only_to_Cloud,49520,No,Cloud
Only_to_Cloud,5951,Yes,Cloud
Near_to_Fog,1311,Yes,Fog
Only_to_Cloud,92676,No,Cloud
Only_to_Cloud,20242,No,Cloud
Only_to_Cloud,36522,Yes,Cloud
Only_to_Cloud,68626,Yes,Cloud
Only_to_Cloud,24370,No,Cloud
Only_to_Cloud,17793,Yes,Cloud
Near_to_Fog,66141,Yes,Fog
Only_to_Cloud,76757,No,Cloud
Near_to_Fog,49366,Yes,Fog
Near_to_Fog,13969,Yes,Fog
Near_to_Fog,56051,No,Cloud
Near_to_Fog,4293,Yes,Fog
Only_to_Cloud,4395,No,Cloud
Near_to_Fog,68170,No,Cloud
Only_to_Cloud,57210,Yes,Cloud
Only_to_Cloud,56541,No,Cloud
Near_to_Fog,90723,Yes,Fog
Only_to_Cloud,68498,Yes,Cloud
Near_to_Fog,38235,No,Cloud
Only_to_Cloud,38785,Yes,Cloud
Near_to_Fog,81438,No,Cloud
Near_to_Fog,69181,Yes,Fog
Near_to_Fog,77183,Yes,Fog
Only_to_Cloud,42448,No,Cloud
Only_to_Cloud,44273,Yes,Cloud
Only_to_Cloud,67890,Yes,Cloud
Near_to_Fog,51672,No,Cloud
Near_to_Fog,43526,No,Cloud
Near_to_Fog,4203,Yes,Fog
Near_to_Fog,59359,Yes,Fog
Only_to_Cloud,69263,Yes,Cloud
Near_to_Fog,65054,No,Cloud
Only_to_Cloud,5996,No,Cloud
Near_to_Fog,20749,No,Cloud
Only_to_Cloud,70318,Yes,Cloud
Near_to_Fog,48173,Yes,Fog
Only_to_Cloud,27893,Yes,Cloud
Only_to_Cloud,39728,Yes,Cloud
Near_to_Fog,7902,Yes,Fog
Only_to_Cloud,25230,No,Cloud
Only_to_Cloud,1890,Yes,Cloud
Near_to_Fog,7433,Yes,Fog
Only_to_Cloud,65808,No,Cloud
Near_to_Fog,55422,No,Cloud
Near_to_Fog,16301,Yes,Fog
Only_to_Cloud,73521,No,Cloud
Only_to_Cloud,23418,No,Cloud
Near_to_Fog,4984,Yes,Fog
Only_to_Cloud,90959,Yes,Cloud
Near_to_Fog,20575,No,Cloud
Only_to_Cloud,27701,Yes,Cloud
Near_to_Fog,91376,Yes,Fog
Near_to_Fog,61003,No,Cloud
Only_to_Cloud,83996,Yes,Cloud
Near_to_Fog,88286,No,Cloud
Near_to_Fog,25142,No,Cloud
Near_to_Fog,61636,No,Cloud
Only_to_Cloud,38465,No,Cloud
Only_to_Cloud,84424,Yes,Cloud
Near_to_Fog,42242,Yes,Fog
Near_to_Fog,35333,Yes,Fog
Near_to_Fog,60944,Yes,Fog
Only_to_Cloud,77408,Yes,Cloud
Near_to_Fog,62829,No,Cloud
Only_to_Cloud,77710,No,Cloud
Near_to_Fog,80045,No,Cloud
Only_to_Cloud,97940,No,Cloud
Only_to_Cloud,95895,Yes,Cloud
Near_to_Fog,78594,Yes,Fog
Near_to_Fog,40905,No,Cloud
Only_to_Cloud,84638,Yes,Cloud
Near_to_Fog,21377,Yes,Fog
Near_to_Fog,97793,Yes,Fog
Near_to_Fog,12836,No,Cloud
Only_to_Cloud,68084,Yes,Cloud
Only_to_Cloud,94126,Yes,Cloud
Only_to_Cloud,35638,No,Cloud
Only_to_Cloud,59050,No,Cloud
Near_to_Fog,92382,No,Cloud
Only_to_Cloud,79102,Yes,Cloud
Near_to_Fog,43633,Yes,Fog
Only_to_Cloud,2356,No,Cloud
Near_to_Fog,67693,Yes,Fog
Near_to_Fog,46747,No,Cloud
Only_to_Cloud,17276,No,Cloud
Only_to_Cloud,84100,No,Cloud
Near_to_Fog,41876,No,Cloud
Near_to_Fog,51809,Yes,Fog
Near_to_Fog,15792,Yes,Fog
Near_to_Fog,26117,Yes,Fog
Only_to_Cloud,55006,No,Cloud
Only_to_Cloud,9165,Yes,Cloud
Only_to_Cloud,22885,No,Cloud
Near_to_Fog,14579,No,Cloud
Only_to_Cloud,61678,Yes,Cloud
Only_to_Cloud,52101,Yes,Cloud
Near_to_Fog,16519,Yes,Fog
Near_to_Fog,46179,Yes,Fog
Near_to_Fog,69182,Yes,Fog
Near_to_Fog,10440,No,Cloud
Near_to_Fog,48554,No,Cloud
Near_to_Fog,19778,No,Cloud
Only_to_Cloud,126,No,Cloud
Only_to_Cloud,41681,No,Cloud
Near_to_Fog,43911,No,Cloud
Only_to_Cloud,82209,No,Cloud
Only_to_Cloud,99418,Yes,Cloud
Near_to_Fog,44503,Yes,Fog
Only_to_Cloud,25945,No,Cloud
Only_to_Cloud,24649,No,Cloud
Near_to_Fog,50522,Yes,Fog
Only_to_Cloud,52104,Yes,Cloud
